x  y  z 
-994.941994  -1069.054373  409.061028 
-1116.379850  -950.005323  384.819652 
-1217.105851  -846.080680  314.319811 
-1057.161955  -999.244229  381.881611 
-1089.092379  -961.649855  402.050601 
-1224.013783  -830.306912  341.639493 
-1029.942360  -1015.968348  409.836254 
-1081.044216  -967.508657  420.974409 
-1115.884196  -933.330246  362.261999 
-1179.249643  -864.645485  340.142780 
-1190.535299  -852.943860  367.395857 
-906.609484  -1132.115972  455.780596 
-903.774776  -1130.795376  455.356153 
-923.467124  -1114.097938  422.433933 
-947.764409  -1090.758945  414.709113 
-1147.968350  -889.118142  348.078495 
-1025.477603  -1008.704023  430.250171 
-1092.955292  -940.842604  425.251043 
-1135.960000  -893.194345  342.829237 
-1177.239825  -853.791846  389.687065 
-1089.149603  -934.206901  426.680534 
-859.265703  -1159.388417  465.192821 
-1043.236978  -975.690036  428.729870 
-883.346628  -1131.868209  458.654571 
-1002.830484  -1012.755035  407.377472 
-1202.082520  -812.673339  309.018244 
-1223.702622  -793.997237  322.642101 
-925.080997  -1087.080481  449.188013 
-978.454475  -1031.489332  421.402334 
-1038.042666  -972.087583  397.566625 
-1124.516871  -886.307864  373.268683 
-1000.799727  -1000.963193  445.177623 
-1155.825259  -850.305068  380.907615 
-1047.743221  -951.218265  411.898752 
-1047.002066  -952.309882  417.414082 
-1041.785513  -950.377600  418.346201 
-1059.991806  -933.526728  369.856274 
-928.839818  -1058.104578  445.011623 
-1005.871349  -979.767905  387.724025 
-873.984489  -1109.068890  447.029022 
-972.714883  -1011.539730  384.342874 
-1120.883401  -861.644719  345.821381 
-901.650249  -1073.471397  438.750161 
-1072.773794  -906.540851  391.729103 
-1157.774624  -817.899449  364.615039 
-1209.682432  -766.018357  332.553275 
-1208.452992  -766.874184  473.345005 
-858.959058  -1110.958923  473.709614 
-896.745697  -1073.490503  485.545510 
-947.849312  -1021.434312  406.669810 
-970.777519  -1000.904423  392.480540 
-1207.872819  -766.082620  314.709915 
-777.410492  -1190.976676  496.384777 
-782.520218  -1184.227462  494.850352 
-929.072572  -1038.426621  450.994833 
-1087.581749  -881.149462  540.961216 
-1141.073221  -822.601689  323.063525 
-772.485791  -1186.029867  481.157894 
-925.021994  -1035.611185  401.734279 
-1074.935261  -884.403942  370.079012 
-1161.741465  -798.605283  351.256075 
-1213.949461  -748.857121  526.612953 
-873.527513  -1081.864387  417.822136 
-891.495066  -1064.886030  475.221627 
-899.844411  -1055.396051  470.478044 
-962.106499  -992.892277  385.245771 
-984.995829  -970.047424  390.974874 
-1060.492159  -893.374985  566.191425 
-1083.330046  -872.716881  531.127859 
-1203.126773  -751.773096  331.467375 
-857.174483  -1092.061103  492.877427 
-920.783299  -1029.984070  452.409063 
-967.577108  -984.010351  428.845763 
-982.729015  -967.175313  402.147410 
-1029.937501  -920.973291  548.743141 
-1078.046635  -871.844048  549.192711 
-1151.004164  -796.548238  530.070715 
-748.325152  -1197.348011  469.692953 
-951.382680  -990.400904  640.918470 
